gamma,case,horizon,empirical_epsilon,true_value,model_value,absolute_value_gap,finite_horizon_local_envelope,gap_to_envelope_ratio,reward_lipschitz,empirical_dynamics_lipschitz
0.95,8,40,0.01008425263515497,-0.3051047402852548,-0.24536748339149667,0.05973725689375814,1.3151775103390084,0.045421440394277944,0.7187041066850642,0.9758338563857356
0.97,8,40,0.01008425263515497,-0.3906840385994492,-0.3039996454938606,0.08668439310558862,2.0525397839280672,0.04223274685555451,0.7187041066850642,0.9758338563857356
0.98,8,40,0.01008425263515497,-0.4485816609778926,-0.3428352941825412,0.10574636679535138,2.596505720520397,0.04072641394918917,0.7187041066850642,0.9758338563857356
0.99,8,40,0.01008425263515497,-0.5204201772413762,-0.39034691277732186,0.13007326446405437,3.310220243526526,0.039294444144139934,0.7187041066850642,0.9758338563857356
0.8,9,40,0.002809869675854341,-0.1832351704890862,-0.1777359283325393,0.005499242156546902,0.044420392629893085,0.12379994482187759,0.8756200781185572,0.9733223878705909
0.9,9,40,0.002809869675854341,-0.334205782500304,-0.31970896175290814,0.014496820747395889,0.16865686394985568,0.0859545257031817,0.8756200781185572,0.9733223878705909
0.95,9,40,0.002809869675854341,-0.54994404753522,-0.5215989960559091,0.02834505147931088,0.4367441667988341,0.06490081295663122,0.8756200781185572,0.9733223878705909
0.97,9,40,0.002809869675854341,-0.7136217988150538,-0.6745791134254262,0.03904268538962763,0.6800979978877664,0.057407440561339035,0.8756200781185572,0.9733223878705909
0.98,9,40,0.002809869675854341,-0.8257602802448155,-0.7793570981167487,0.04640318212806682,0.859420358992448,0.053993580257358766,0.8756200781185572,0.9733223878705909
0.99,9,40,0.002809869675854341,-0.9661217690157213,-0.9104902476323563,0.055631521383365024,1.094529602802914,0.05082687689844264,0.8756200781185572,0.9733223878705909
