epsilon,gamma,case,horizon,true_value,model_value,absolute_value_gap,finite_horizon_bound,gap_to_bound_ratio,reward_lipschitz,empirical_dynamics_lipschitz,max_rollout_state_error
0.001,0.8,5,40,-0.965710925718111,-0.976850233789845,0.011139308071734022,0.04651265259359588,0.23948984739837742,2.0838609363218374,1.0265388909664361,0.03215313740385787
0.001,0.9,5,40,-2.0278661130108366,-2.075899610964757,0.048033497953920534,0.21453199004640963,0.22389899960154877,2.0838609363218374,1.0265388909664361,0.03215313740385787
0.001,0.95,5,40,-3.630987957223706,-3.7601676522833354,0.12917969505962956,0.6384365035864413,0.20233757677381808,2.0838609363218374,1.0265388909664361,0.03215313740385787
0.001,0.97,5,40,-4.864442645247102,-5.066894581901132,0.20245193665402983,1.0502419631871143,0.19276694680877113,2.0838609363218374,1.0265388909664361,0.03215313740385787
0.001,0.98,5,40,-5.71231498772687,-5.968502445605759,0.2561874578788892,1.3622376985250337,0.18806369707450968,2.0838609363218374,1.0265388909664361,0.03215313740385787
0.001,0.99,5,40,-6.77493826155914,-7.101304244816794,0.326365983257654,1.7786391743447418,0.18349195720255548,2.0838609363218374,1.0265388909664361,0.03215313740385787
0.001,0.8,6,40,-0.8017827542340737,-0.8131198593069409,0.011337105072867115,0.04458401770805934,0.25428630382985284,2.0836622223705876,1.0167906533655346,0.02820836253378104
0.001,0.9,6,40,-1.8194463456401142,-1.8688769269688095,0.04943058132869527,0.19719522953343935,0.25066824104034974,2.0836622223705876,1.0167906533655346,0.02820836253378104
0.001,0.95,6,40,-3.4672188485104583,-3.599060772573964,0.1318419240635058,0.5699631889959506,0.23131655975144477,2.0836622223705876,1.0167906533655346,0.02820836253378104
0.001,0.97,6,40,-4.770545043828598,-4.975827821034386,0.20528277720578814,0.927165424050379,0.2214090084474869,2.0836622223705876,1.0167906533655346,0.02820836253378104
0.001,0.98,6,40,-5.675614082274818,-5.934404851392511,0.2587907691176934,1.196290639905245,0.21632767195954278,2.0836622223705876,1.0167906533655346,0.02820836253378104
0.001,0.99,6,40,-6.816843816187937,-7.145199016668067,0.32835520048012956,1.5542008889122574,0.21126947154813197,2.0836622223705876,1.0167906533655346,0.02820836253378104
0.001,0.8,7,40,-0.10514539115772285,-0.10293809765743143,0.0022072935002914185,0.013579859311290776,0.16254170604375823,0.679421045501002,1.0002095145284218,0.03834998316462006
0.001,0.9,7,40,-0.1794897872314903,-0.17270974409152445,0.006780043139965858,0.05631683467706562,0.12039105498105972,0.679421045501002,1.0002095145284218,0.03834998316462006
0.001,0.95,7,40,-0.2671759441651925,-0.2531454290391406,0.014030515126051912,0.1554824410322706,0.09023858278080327,0.679421045501002,1.0002095145284218,0.03834998316462006
0.001,0.97,7,40,-0.32577556659335777,-0.30623705899078735,0.01953850760257042,0.2484265293441206,0.07864903822532443,0.679421045501002,1.0002095145284218,0.03834998316462006
0.001,0.98,7,40,-0.3635224633086611,-0.34024832884778217,0.023274134460878948,0.31782232229831686,0.07323001824595944,0.679421045501002,1.0002095145284218,0.03834998316462006
0.001,0.99,7,40,-0.40879111495474874,-0.38088893652417316,0.027902178430575575,0.40957880492664406,0.06812407794288301,0.679421045501002,1.0002095145284218,0.03834998316462006
0.001,0.8,8,40,-0.17306707200396973,-0.17265741399466394,0.00040965800930578555,0.02033607677759973,0.02014439725940775,1.002566851954957,1.003886948338888,0.04000249426833359
0.001,0.9,8,40,-0.2916199420958808,-0.2916375964288649,1.7654332984062826e-05,0.08548816784997876,0.0002065120054396769,1.002566851954957,1.003886948338888,0.04000249426833359
0.001,0.95,8,40,-0.4358573655041555,-0.43950081430157567,0.003643448797420179,0.23833169905479892,0.015287302578170483,1.002566851954957,1.003886948338888,0.04000249426833359
0.001,0.97,8,40,-0.5354766786325532,-0.5437175129794093,0.008240834346856074,0.38227065507343155,0.02155759077367073,1.002566851954957,1.003886948338888,0.04000249426833359
0.001,0.98,8,40,-0.6008443541664082,-0.6129019954490201,0.012057641282611886,0.4899513786599866,0.024609873158413075,1.002566851954957,1.003886948338888,0.04000249426833359
0.001,0.99,8,40,-0.6803138186847725,-0.697750304412222,0.01743648572744949,0.6325073297072843,0.027567246905294926,1.002566851954957,1.003886948338888,0.04000249426833359
0.001,0.8,9,40,-0.07418232061214665,-0.07567376094721029,0.0014914403350636402,0.01881335653180019,0.07927561105551051,0.975078833099476,0.9911804128893318,0.03275841652966526
0.001,0.9,9,40,-0.12652430925704392,-0.1324843739365142,0.005960064679470273,0.07558454273529125,0.07885295675259081,0.975078833099476,0.9911804128893318,0.03275841652966526
0.001,0.95,9,40,-0.1951102953592634,-0.21171978438642353,0.016609489027160113,0.2039506805028319,0.08143875267398035,0.975078833099476,0.9911804128893318,0.03275841652966526
0.001,0.97,9,40,-0.245549099094173,-0.2723447463560416,0.026795647261868616,0.32290842745981135,0.08298218622740516,0.975078833099476,0.9911804128893318,0.03275841652966526
0.001,0.98,9,40,-0.279779160931772,-0.3142548030730273,0.03447564214125526,0.41131513851323037,0.0838180725996943,0.975078833099476,0.9911804128893318,0.03275841652966526
0.001,0.99,9,40,-0.3224225209714593,-0.3671207752569673,0.044698254285508,0.5278601563026395,0.08467821212078948,0.975078833099476,0.9911804128893318,0.03275841652966526
0.002,0.8,0,40,-0.21231116990201349,-0.2026545164550969,0.009656653446916574,0.03673432670360642,0.2628781935989186,0.9125080535130603,1.001968754314537,0.07770580935615236
0.002,0.9,0,40,-0.4085865844526507,-0.372507956688704,0.03607862776394671,0.15332550861614422,0.23530740637730949,0.9125080535130603,1.001968754314537,0.07770580935615236
0.002,0.95,0,40,-0.6870978494771773,-0.5962537208239519,0.09084412865322544,0.4252745344906487,0.2136129048075485,0.9125080535130603,1.001968754314537,0.07770580935615236
0.002,0.97,0,40,-0.8957426218950294,-0.7563282133708953,0.13941440852413411,0.6807410957294462,0.204797990599855,0.9125080535130603,1.001968754314537,0.07770580935615236
0.002,0.98,0,40,-1.0376149246436042,-0.8627898282896473,0.17482509635395682,0.8716602214908905,0.2005656470762603,0.9125080535130603,1.001968754314537,0.07770580935615236
0.002,0.99,0,40,-1.2141879788446195,-0.9932693083518588,0.2209186704927607,1.1242478483910971,0.19650352972337531,0.9125080535130603,1.001968754314537,0.07770580935615236
0.002,0.8,1,40,-0.2078806364165956,-0.21935852327660582,0.011477886860010222,0.03432181621137662,0.33441956536687173,0.8750271045885966,0.995396264758025,0.07142673138869411
0.002,0.9,1,40,-0.40439094549719173,-0.4516672202975341,0.047276274800342355,0.13990984789846744,0.3379052690747741,0.8750271045885966,0.995396264758025,0.07142673138869411
0.002,0.95,1,40,-0.7000215424708716,-0.8299737914149129,0.12995224894404134,0.3815125807360252,0.3406237579199451,0.8750271045885966,0.995396264758025,0.07142673138869411
0.002,0.97,1,40,-0.931728553281784,-1.1390992739217145,0.20737072063993045,0.6065789269194567,0.3418693123631473,0.8750271045885966,0.995396264758025,0.07142673138869411
0.002,0.98,1,40,-1.0930205935805768,-1.3581931417766753,0.2651725481960985,0.7742020834994826,0.3425107654031206,0.8750271045885966,0.995396264758025,0.07142673138869411
0.002,0.99,1,40,-1.2971632799208983,-1.6387708490366437,0.3416075691157454,0.9954809098155641,0.3431583325681616,0.8750271045885966,0.995396264758025,0.07142673138869411
0.002,0.8,2,40,-0.1926548079577949,-0.2003684203303704,0.007713612372575479,0.03416441308703147,0.22577915660150774,0.8842779404665237,0.9914969642384986,0.06422130039374105
0.002,0.9,2,40,-0.32594342747374316,-0.35322073110361446,0.027277303629871297,0.13740652696363814,0.19851534153897712,0.8842779404665237,0.9914969642384986,0.06422130039374105
0.002,0.95,2,40,-0.4954379637483884,-0.5630918630631508,0.06765389931476246,0.3710546166031959,0.18232868232201846,0.8842779404665237,0.9914969642384986,0.06422130039374105
0.002,0.97,2,40,-0.6167229596310776,-0.7203826774316272,0.10365971780054961,0.5876617711882737,0.1763935019814984,0.8842779404665237,0.9914969642384986,0.06422130039374105
0.002,0.98,2,40,-0.6977684219981136,-0.8277706730326791,0.13000225103456553,0.7486649563089436,0.1736454337004107,0.8842779404665237,0.9914969642384986,0.06422130039374105
0.002,0.99,2,40,-0.7975714039984719,-0.9619525451922715,0.16438114119379954,0.9609343287626539,0.17106386594124984,0.8842779404665237,0.9914969642384986,0.06422130039374105
0.002,0.8,3,40,-0.0368406203086425,-0.03963412039936922,0.002793500090726722,0.019065745796879616,0.14651931901787543,0.4846999677896572,0.9961218241174389,0.0723890765660751
0.002,0.9,3,40,-0.06448645270746081,-0.07741841091182365,0.01293195820436284,0.07791824805054572,0.16596828763364718,0.4846999677896572,0.9961218241174389,0.0723890765660751
0.002,0.95,3,40,-0.10333928539466948,-0.14191307612547363,0.03857379073080415,0.21286277873312423,0.18121435302301428,0.4846999677896572,0.9961218241174389,0.0723890765660751
0.002,0.97,3,40,-0.13290046130135336,-0.19623373537896252,0.06333327407760916,0.3386856066454442,0.18699724120225197,0.4846999677896572,0.9961218241174389,0.0723890765660751
0.002,0.98,3,40,-0.15320423571522623,-0.23521368037222007,0.08200944465699384,0.4324299809362212,0.18964791589945137,0.4846999677896572,0.9961218241174389,0.0723890765660751
0.002,0.99,3,40,-0.17866382304774606,-0.28551220833802415,0.1068483852902781,0.5562113239541776,0.19210034152249766,0.4846999677896572,0.9961218241174389,0.0723890765660751
0.002,0.8,4,40,-0.3411326398633364,-0.3309238059229474,0.010208833940389017,0.05464991292266242,0.1868042123843089,1.3325284407011107,1.0065717988578462,0.08373255138294225
0.002,0.9,4,40,-0.5997409469903723,-0.5629169554825559,0.036823991507816345,0.23208180966518424,0.15866815051529004,1.3325284407011107,1.0065717988578462,0.08373255138294225
0.002,0.95,4,40,-0.9494348373507802,-0.8579212037061024,0.0915136336446778,0.6517379462624552,0.14041476972375827,1.3325284407011107,1.0065717988578462,0.08373255138294225
0.002,0.97,4,40,-1.2076625229983002,-1.0675167957907286,0.14014572720757168,1.0483444933353998,0.13368289536360875,1.3325284407011107,1.0065717988578462,0.08373255138294225
